log_id,student_id,question_id,concept_tag,question_text,correct_answer,student_attempt_text,error_type,is_correct,time_to_first_response_ms,hint_requests
2222b47d,Student_017,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 6 -> x = 3. I subtracted 5 instead of adding.,Procedural,False,78776,0
9f94b092,Student_017,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 16 -> x = 8,None,True,71786,0
d53c5f8c,Student_019,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.8 because 8 is larger than 3.,None,True,111761,0
8073f00c,Student_019,math_q1,Decimals & Fractions,Which is larger: 0.8 or 0.355?,0.8,0.355 because 355 is a bigger number than 8.,Conceptual,False,5440,2
4bba26f2,Student_002,math_q2,Linear Equations,Solve for x: 2x - 5 = 11,x = 8,2x = 6 -> x = 3. I subtracted 5 instead of adding.,Procedural,False,68672,2
546304f6,Student_008,math_q4,Negative Numbers,Calculate: -5 - (-3),-2,Minus minus makes a minus. So -5 - 3 = -8,Conceptual,False,53407,2
e2b13a94,Student_005,math_q5,Exponents,Calculate: 3 squared.,9,3 * 2 = 6,Procedural,False,17770,1
246d9bd6,Student_007,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,3 * 2 = 6 -> 4 + 6 = 10,None,True,80091,0
24efcb31,Student_004,math_q5,Exponents,Calculate: 3 squared.,9,3 * 3 = 9,None,True,78045,0
32110626,Student_011,math_q5,Exponents,Calculate: 3 squared.,9,3 * 3 = 9,None,True,76113,0
75317033,Student_004,math_q5,Exponents,Calculate: 3 squared.,9,3 * 2 = 6,Procedural,False,27058,3
c81c79b5,Student_014,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,3 * 2 = 6 -> 4 + 6 = 10,None,True,89644,0
a0b7ee66,Student_006,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 3 = 7 -> 7 * 2 = 14,Conceptual,False,102009,2
51bc24ab,Student_004,math_q5,Exponents,Calculate: 3 squared.,9,3 * 3 = 9,None,True,60347,0
bcc182c0,Student_005,math_q3,Order of Operations,Evaluate: 4 + 3 * 2,10,4 + 3 = 7 -> 7 * 2 = 14,Conceptual,False,47633,1
